,id,username,description,followers,following,tweet_count,listed_count,verified,created_at
0,6433472,CBCNews,Latest news and analysis from CBC News. 🇨🇦,3538058,1172,279759,15191,True,2007-05-30 05:20:39+00:00
1,15754281,USATODAY,The pulse of the nation in the palm of your hand.,5122560,904,478810,36854,True,2008-08-06 19:55:31+00:00
2,2467791,washingtonpost,Democracy Dies in Darkness,19334144,1640,526183,104707,True,2007-03-27 11:19:39+00:00
3,14173315,NBCNews,"News updates from around the 🌎, all day, every day.",9290499,1330,440361,51958,True,2008-03-18 23:19:17+00:00
4,1652541,Reuters,"Top and breaking news, pictures and videos from Reuters. For breaking business news, follow @ReutersBiz. Our daily podcast is here: https://t.co/KO0QFy0d3a",25280166,1192,1345391,135715,True,2007-03-20 17:46:05+00:00
5,8736882,globeandmail,Canada's national news organization. Customer care: @GlobeHelp. Share info with us anonymously: https://t.co/ROPEUBZwoO,1850932,1008,731286,13474,True,2007-09-08 00:46:45+00:00
6,759251,CNN,"It’s our job to #GoThere and tell the most difficult stories. For breaking news, follow @CNNBRK and download the CNN app ➡️ https://t.co/7PQD7o6fLw",61404485,1046,426438,154038,True,2007-02-09 00:35:02+00:00
7,612473,BBCNews,"News, features and analysis. For world news, follow @BBCWorld. Breaking news, follow @BBCBreaking. Latest sport news @BBCSport. Our Instagram: BBCNews",15086823,85,612686,50137,True,2007-01-08 08:05:57+00:00
8,29322957,TheNewYorkTimes,,290,0,0,1,False,2009-04-06 23:18:58+00:00
9,1367531,FoxNews,Stay Ahead. Get Breaking News Here First. Download the App.,28531874,276,697891,79468,False,2007-03-17 19:01:26+00:00
