,Title,Published,Channel,Views,Likes,Comments,Shares,Description,Tags,Captions,Duration,Default Language
0,Thousands mourn Ayatollah Ali Khamenei’s death in Tehran,2026-03-01T15:53:11Z,CBC News,130693,664,,,"Thousands mourned the death of Iran's Supreme Leader Ayatollah Ali Khamenei, who was killed in airstrikes by Israel and the U.S. on Saturday.

»»» Subscribe to CBC News to watch more videos: http://bit.ly/1RreYWS

For breaking news, video, audio and in-depth coverage: https://www.cbc.ca/news
Follow CBC News on TikTok: https://www.tiktok.com/@cbcnews
Subscribe to CBC News on Snapchat: https://bit.ly/3leaWsr
Subscribe to CBC News on WhatsApp: https://www.whatsapp.com/channel/0029Vb6MSjH9Bb63S9tbQa1Y

Download the CBC News app for iOS: http://apple.co/25mpsUz
Download the CBC News app for Android: http://bit.ly/1XxuozZ

»»»»»»»»»»»»»»»»»»
For more than 80 years, CBC News has been the source Canadians turn to, to keep them informed about their communities, their country and their world. Through regional and national programming on multiple platforms, including CBC Television, CBC News Network, CBC Radio, CBCNews.ca, mobile and on-demand, CBC News and its internationally recognized team of award-winning journalists deliver the breaking stories, the issues, the analyses and the personalities that matter to Canadians.","['CBC News', 'CBC', 'News', 'breaking news']",false,PT43S,en
1,"Putin ‘impressed’ by U.S. attacks on Iran, Trump says",2026-03-10T01:25:27Z,CBC News,37825,221,,,"At a press conference on Monday, U.S. President Donald Trump told reporters he spoke to Russian President Vladimir Putin about the U.S.-Israel Iran war, saying Putin was ""impressed by what he saw.""

»»» Subscribe to CBC News to watch more videos: http://bit.ly/1RreYWS

For breaking news, video, audio and in-depth coverage: https://www.cbc.ca/news
Follow CBC News on TikTok: https://www.tiktok.com/@cbcnews
Subscribe to CBC News on Snapchat: https://bit.ly/3leaWsr
Subscribe to CBC News on WhatsApp: https://www.whatsapp.com/channel/0029Vb6MSjH9Bb63S9tbQa1Y

Download the CBC News app for iOS: http://apple.co/25mpsUz
Download the CBC News app for Android: http://bit.ly/1XxuozZ

»»»»»»»»»»»»»»»»»»
For more than 80 years, CBC News has been the source Canadians turn to, to keep them informed about their communities, their country and their world. Through regional and national programming on multiple platforms, including CBC Television, CBC News Network, CBC Radio, CBCNews.ca, mobile and on-demand, CBC News and its internationally recognized team of award-winning journalists deliver the breaking stories, the issues, the analyses and the personalities that matter to Canadians.","['CBC News', 'CBC', 'News', 'breaking news']",false,PT44S,en
2,Russia launches overnight attacks on Kyiv as war nears fourth anniversary,2026-02-22T19:22:50Z,CBC News,3736,44,,,"Russian forces struck Ukraine overnight with a barrage of nearly 300 drones, killing at least one person and injuring several others, according to Ukraine's Emergency Service. Russia also struck energy infrastructure in Ukraine's southern Odesa region, causing significant fires that were later extinguished.

»»» Subscribe to CBC News to watch more videos: http://bit.ly/1RreYWS

For breaking news, video, audio and in-depth coverage: https://www.cbc.ca/news
Follow CBC News on TikTok: https://www.tiktok.com/@cbcnews
Subscribe to CBC News on Snapchat: https://bit.ly/3leaWsr
Subscribe to CBC News on WhatsApp: https://www.whatsapp.com/channel/0029Vb6MSjH9Bb63S9tbQa1Y

Download the CBC News app for iOS: http://apple.co/25mpsUz
Download the CBC News app for Android: http://bit.ly/1XxuozZ

»»»»»»»»»»»»»»»»»»
For more than 80 years, CBC News has been the source Canadians turn to, to keep them informed about their communities, their country and their world. Through regional and national programming on multiple platforms, including CBC Television, CBC News Network, CBC Radio, CBCNews.ca, mobile and on-demand, CBC News and its internationally recognized team of award-winning journalists deliver the breaking stories, the issues, the analyses and the personalities that matter to Canadians.","['CBC News', 'CBC', 'News', 'breaking news', 'Ukraine', 'Volodymyr Zelenskyy', 'U.K.', 'U.S.', 'Odesa', 'Kyiv', 'world news', 'Russia', 'Vladimir Putin', 'Moscow']",false,PT2M39S,en
3,Fact check: Is Prime Minister Mark Carney in the Epstein files?,2026-02-05T17:53:23Z,CBC News,550235,8779,,,"CBC’s fact-check team searched for Mark Carney’s name in the U.S. Justice Department’s Epstein Library. Here’s what we found. 

»»» Subscribe to CBC News to watch more videos: http://bit.ly/1RreYWS

For breaking news, video, audio and in-depth coverage: https://www.cbc.ca/news
Follow CBC News on TikTok: https://www.tiktok.com/@cbcnews
Subscribe to CBC News on Snapchat: https://bit.ly/3leaWsr
Subscribe to CBC News on WhatsApp: https://www.whatsapp.com/channel/0029Vb6MSjH9Bb63S9tbQa1Y

Download the CBC News app for iOS: http://apple.co/25mpsUz
Download the CBC News app for Android: http://bit.ly/1XxuozZ

»»»»»»»»»»»»»»»»»»
For more than 80 years, CBC News has been the source Canadians turn to, to keep them informed about their communities, their country and their world. Through regional and national programming on multiple platforms, including CBC Television, CBC News Network, CBC Radio, CBCNews.ca, mobile and on-demand, CBC News and its internationally recognized team of award-winning journalists deliver the breaking stories, the issues, the analyses and the personalities that matter to Canadians.","['CBC News', 'CBC', 'News', 'breaking news', 'Mark Carney', 'Epstein files', 'Epstein', 'Jeffrey Epstein', 'fact check', 'U.S. Justice Department']",false,PT1M43S,en
4,Trump says Putin agreed to pause some strikes on Ukraine as power outages exacerbate cold weather,2026-01-30T17:34:51Z,CBC News,4089,14,,,"Ukrainians are waiting to see if Russia will pause its attacks on energy infrastructure during extreme cold weather made worse by power outages. U.S. President Donald Trump says Russian President Vladimir Putin agreed to stop the strikes temporarily. Ukrainian President Volodymyr Zelenskyy says in return, he will stop strikes on Russian oil infrastructure.

»»» Subscribe to CBC News to watch more videos: http://bit.ly/1RreYWS

For breaking news, video, audio and in-depth coverage: https://www.cbc.ca/news
Follow CBC News on TikTok: https://www.tiktok.com/@cbcnews
Subscribe to CBC News on Snapchat: https://bit.ly/3leaWsr
Subscribe to CBC News on WhatsApp: https://www.whatsapp.com/channel/0029Vb6MSjH9Bb63S9tbQa1Y

Download the CBC News app for iOS: http://apple.co/25mpsUz
Download the CBC News app for Android: http://bit.ly/1XxuozZ

»»»»»»»»»»»»»»»»»»
For more than 80 years, CBC News has been the source Canadians turn to, to keep them informed about their communities, their country and their world. Through regional and national programming on multiple platforms, including CBC Television, CBC News Network, CBC Radio, CBCNews.ca, mobile and on-demand, CBC News and its internationally recognized team of award-winning journalists deliver the breaking stories, the issues, the analyses and the personalities that matter to Canadians.","['CBC News', 'CBC', 'News', 'breaking news', 'russia', 'ukraine', 'energy', 'power cuts', 'power out', 'strikes', 'attack', 'zelenskyy', 'putin', 'trump', 'ceasefire', 'war', 'extreme cold', 'cold weather', 'cbc', 'cbc news']",false,PT3M34S,en
5,"Rosemary Barton Live | Jan. 11, 2026",2026-01-11T17:00:02Z,CBC News,14230,214,,,"CBC’s chief political correspondent Rosemary Barton delivers a weekly dose of need-to-know political news and issues affecting Canadians, tackling the latest headlines through the lens of people living them. 

Read more: http://www.cbc.ca/news

»»» Subscribe to CBC News to watch more videos: http://bit.ly/1RreYWS

Connect with CBC News Online:

For breaking news, video, audio and in-depth coverage: http://bit.ly/1Z0m6iX
Follow CBC News on TikTok: https://bit.ly/3TnHioe
Follow CBC News on Twitter: http://bit.ly/1sA5P9H
Subscribe to CBC News on Snapchat: https://bit.ly/3leaWsr

Download the CBC News app for iOS: http://apple.co/25mpsUz
Download the CBC News app for Android: http://bit.ly/1XxuozZ

»»»»»»»»»»»»»»»»»»
For more than 80 years, CBC News has been the source Canadians turn to, to keep them informed about their communities, their country and their world. Through regional and national programming on multiple platforms, including CBC Television, CBC News Network, CBC Radio, CBCNews.ca, mobile and on-demand, CBC News and its internationally recognized team of award-winning journalists deliver the breaking stories, the issues, the analyses and the personalities that matter to Canadians.","['CBC News', 'CBC', 'News', 'rbl', 'rosemary barton', 'rosie barton', 'rosie cbc', 'politics', 'canada', 'canpoli', 'cdnpoli', 'canadian politics']",true,PT1H1M26S,en
6,How dangerous is Russia's new hypersonic missile?,2026-01-10T01:01:24Z,CBC News,34180,547,,,"Russia has used a new hypersonic missile to strike western Ukraine in a clear warning to Kyiv's NATO allies. It’s only the second time the missile has been used in the nearly four-year-old war. CBC’s Briar Stewart explains. 

»»» Subscribe to CBC News to watch more videos: http://bit.ly/1RreYWS

For breaking news, video, audio and in-depth coverage: https://www.cbc.ca/news
Follow CBC News on TikTok: https://www.tiktok.com/@cbcnews
Subscribe to CBC News on Snapchat: https://bit.ly/3leaWsr
Subscribe to CBC News on WhatsApp: https://www.whatsapp.com/channel/0029Vb6MSjH9Bb63S9tbQa1Y

Download the CBC News app for iOS: http://apple.co/25mpsUz
Download the CBC News app for Android: http://bit.ly/1XxuozZ

»»»»»»»»»»»»»»»»»»
For more than 80 years, CBC News has been the source Canadians turn to, to keep them informed about their communities, their country and their world. Through regional and national programming on multiple platforms, including CBC Television, CBC News Network, CBC Radio, CBCNews.ca, mobile and on-demand, CBC News and its internationally recognized team of award-winning journalists deliver the breaking stories, the issues, the analyses and the personalities that matter to Canadians.","['CBC News', 'CBC', 'News', 'breaking news', 'Hypersonic', 'Missile', 'Russia', 'Ukraine', 'War', 'Kyiv']",false,PT2M1S,en
7,Ukraine’s allies hold security conference in Paris,2026-01-06T22:11:45Z,CBC News,8368,65,,,"Several countries, including Canada, attended a summit of the 'coalition of the willing' in Paris. The U.K. and France have pledged troop deployment in Ukraine once a peace deal with Russia is reached. This multinational force will deter further attacks from Russia and reinforce security guarantees.

»»» Subscribe to CBC News to watch more videos: http://bit.ly/1RreYWS

For breaking news, video, audio and in-depth coverage: https://www.cbc.ca/news
Follow CBC News on TikTok: https://www.tiktok.com/@cbcnews
Subscribe to CBC News on Snapchat: https://bit.ly/3leaWsr
Subscribe to CBC News on WhatsApp: https://www.whatsapp.com/channel/0029Vb6MSjH9Bb63S9tbQa1Y

Download the CBC News app for iOS: http://apple.co/25mpsUz
Download the CBC News app for Android: http://bit.ly/1XxuozZ

»»»»»»»»»»»»»»»»»»
For more than 80 years, CBC News has been the source Canadians turn to, to keep them informed about their communities, their country and their world. Through regional and national programming on multiple platforms, including CBC Television, CBC News Network, CBC Radio, CBCNews.ca, mobile and on-demand, CBC News and its internationally recognized team of award-winning journalists deliver the breaking stories, the issues, the analyses and the personalities that matter to Canadians.","['CBC News', 'CBC', 'News', 'breaking news', 'Ukraine', 'Canada', 'Paris', 'Coalition of the Willing', 'Volodymyr Zelenskyy', 'Emmanuel Macron', 'Jared Kushner', 'U.K.', 'U.S.', 'Mark Carney', 'Keir Starmer']",false,PT3M58S,en
8,Russia will toughen negotiating stance as Ukraine dismisses claims it targeted Putin's residence,2025-12-30T15:36:36Z,CBC News,28249,102,,,"The Kremlin said Tuesday it would toughen its negotiating position in talks on ending the war in Ukraine after accusing Kyiv of attacking a Russian presidential residence — an allegation that Kyiv said was baseless and intended to prolong the conflict.

»»» Subscribe to CBC News to watch more videos: http://bit.ly/1RreYWS

For breaking news, video, audio and in-depth coverage: https://www.cbc.ca/news
Follow CBC News on TikTok: https://www.tiktok.com/@cbcnews
Subscribe to CBC News on Snapchat: https://bit.ly/3leaWsr

Download the CBC News app for iOS: http://apple.co/25mpsUz
Download the CBC News app for Android: http://bit.ly/1XxuozZ

»»»»»»»»»»»»»»»»»»
For more than 80 years, CBC News has been the source Canadians turn to, to keep them informed about their communities, their country and their world. Through regional and national programming on multiple platforms, including CBC Television, CBC News Network, CBC Radio, CBCNews.ca, mobile and on-demand, CBC News and its internationally recognized team of award-winning journalists deliver the breaking stories, the issues, the analyses and the personalities that matter to Canadians.","['CBC News', 'CBC', 'News', 'breaking news', 'cbc', 'cbc news', 'Russia', 'Ukraine', 'War', 'Vladimir Putin', 'Volodymyr Zeleskyy', 'United States', 'Kyiv', 'Moscow', 'drone', 'Novgorod']",false,PT3M4S,en
9,Peace talks in doubt after Putin claims Ukrainian drone attack,2025-12-30T01:15:23Z,CBC News,31341,204,,,"President Vladimir Putin told U.S. President Donald Trump on Monday that Russia would review its position in peace negotiations after accusing Ukraine of carrying out an alleged drone strike on Putin’s residence, the Kremlin said.

Ukraine has dismissed Russia's accusation and has accused Moscow — which has not yet presented evidence to back its assertions — of attempting to undermine peace talks.

»»» Subscribe to CBC News to watch more videos: http://bit.ly/1RreYWS

For breaking news, video, audio and in-depth coverage: https://www.cbc.ca/news
Follow CBC News on TikTok: https://www.tiktok.com/@cbcnews
Subscribe to CBC News on Snapchat: https://bit.ly/3leaWsr

Download the CBC News app for iOS: http://apple.co/25mpsUz
Download the CBC News app for Android: http://bit.ly/1XxuozZ

»»»»»»»»»»»»»»»»»»
For more than 80 years, CBC News has been the source Canadians turn to, to keep them informed about their communities, their country and their world. Through regional and national programming on multiple platforms, including CBC Television, CBC News Network, CBC Radio, CBCNews.ca, mobile and on-demand, CBC News and its internationally recognized team of award-winning journalists deliver the breaking stories, the issues, the analyses and the personalities that matter to Canadians.","['CBC News', 'CBC', 'News', 'breaking news']",false,PT1M28S,en
