,Channel ID,Channel Name,Channel Description,Subscriber Count,Total Views,Total Videos,Country
0,UCuFFtHWoLl5fauMMD5Ww2jA,CBC News,"As Canada's national public news and information service, the CBC is committed to a set of values that include accuracy, fairness, balance, impartiality and integrity.
Since the 1930s, CBC News services have kept Canadians at home and abroad informed about their communities, their country and the world. CBC/Radio-Canada is the country’s largest news organization, employing several hundred journalists in Canada and around the globe. Our stories appear on CBC Television, CBC Radio, the CBC News Network, CBCNews.ca and other digital platforms. ",4560000,2911584790,44059,CA
1,UCP6HGa63sBC7-KHtkme-p-g,USA TODAY,"From heartwarming moments to the latest in sports, entertainment, and politics, our journalists are dedicated to bringing clarity to the news of the day with unique visual storytelling.
",7480000,5087890614,32029,US
2,UCHd62-u_v4DvJ8TCFtpi4GA,Washington Post,"Live coverage, breaking news, analysis and more from The Washington Post.

Comments and community are moderated according to these rules: http://wapo.st/rules",2840000,1649008094,24421,US
3,UCeY0bbntWzzVIaj2z3QigXg,NBC News,"Every day, NBC News helps people understand what’s happening and why it matters — through fact-based reporting, meaningful conversations, and powerful stories. From its leading news broadcasts — TODAY, NBC Nightly News, Meet the Press, and Dateline — to NBC News NOW, the 24/7 streaming news channel, plus chart-topping podcasts, the NBC News app, and NBCNews.com, NBC News keeps audiences informed and connected to the stories shaping our world.


Connect with NBC News:
NBC News App: https://smart.link/5d0cd9df61b80
Breaking News Alerts: https://link.nbcnews.com/join/5cj/breaking-news-signup?cid=sm_npd_nn_yt_bn-clip_190621
Visit NBCNews.com: http://nbcnews.to/ReadNBC
Find NBC News on Facebook: http://nbcnews.to/LikeNBC
Follow NBC News on Twitter: http://nbcnews.to/FollowNBC
Follow NBC News on Instagram: http://nbcnews.to/InstaNBC",11800000,9744596972,91595,
4,UChqUTb7kYRX8-EiaN3XFrSQ,Reuters,"Reuters brings you the latest breaking news, business and finance video from around the world. Since our founding in 1851, we have been known globally for unparalleled accuracy and impartiality. 

Subscribe to stay up-to-date with global headlines: http://smarturl.it/reuterssubscribe",4100000,2242081370,79032,US
5,UCsZYUb8C_19bWOCKF9jRwSg,The Globe and Mail,"YouTube headquarters of The Globe and Mail, Canada's national newspaper.

The Globe was created in 1844 by George Brown, and in 1936 merged with its competitor The Mail and Empire (created in 1895 by a merger between The Toronto Mail and The Toronto Empire) to become The Globe and Mail.

For broadcast rights, please contact enterprisesales@globeandmail.com

Follow The Globe and Mail: https://theglobeandmail.com
Instagram: https://instagram.com/globeandmail
Twitter: https://twitter.com/globeandmail
Facebook: https://facebook.com/theglobeandmail
",248000,117673647,5317,CA
6,UCupvZG-5ko_eiXAupbDfxWw,CNN,"CNN is the world leader in news and information and seeks to inform, engage and empower the world. Staffed 24 hours, seven days a week by a dedicated team in CNN bureaus around the world, CNN delivers news from almost 4,000 journalists in every corner of the globe.
",19300000,20131475884,180667,US
7,UC16niRr50-MSBwiO3YDb3RA,BBC News,"Breaking news, live updates and in-depth analysis from BBC News journalists around the world. 

For the latest news download the BBC News app or visit BBC.com/news
",19400000,6711814501,29012,GB
8,UCqnbDFdCpuN8CMEg0VuEBqA,The New York Times,"The New York Times is the most powerful engine for independent, boots-on-the-ground and deeply reported journalism. We set the standard for the most ambitious and innovative storytelling across features, news and investigations. Because we’re journalists, we’re excited to report the news as quickly as possible, use new technological resources to uncover the truth, and unearth new cultural phenomenons with our critics. The internet didn’t plant these ideas in our heads. We’ve always been this way.  It's all the news that's fit to watch. On YouTube.",5060000,1371669962,10522,
9,UCXIJgqnII2ZOINSWNOGFThA,Fox News,"FOX News Channel (FNC) is a 24-hour all-encompassing news service dedicated to delivering breaking news as well as political and business news. A top cable network in both total viewers and Adults 25-54, FNC has been the most-watched news channel in the country for almost two decades and according to Public Policy Polling is the most trusted television news source in the country. FNC is available in more than 89 million homes and dominates the cable news landscape, routinely notching 12 of the top 15 programs in the genre.",15000000,24415098675,135131,US
